iter	Passed	Remaining
399	45587	125366
400	45735	125344
401	45893	125349
402	46161	125654
403	46197	125327
404	46284	125138
405	46473	125227
406	46635	125240
407	46788	125229
408	46999	125371
409	47063	125121
410	47106	124815
411	47252	124783
412	47395	124744
413	47473	124532
414	47556	124333
415	47721	124350
416	47848	124267
417	48000	124249
418	48067	124011
419	48224	124006
420	48380	123995
421	48543	124004
422	48646	123857
423	48788	123812
424	48936	123780
425	49110	123813
426	49297	123878
427	49430	123807
428	49582	123783
429	49624	123483
430	49781	123473
431	49960	123513
432	50107	123475
433	50257	123444
434	50431	123469
435	50547	123355
436	50694	123313
437	50865	123331
438	51045	123369
439	51078	123053
440	51236	123037
441	51373	122970
442	51533	122959
443	51734	123044
444	51902	123049
445	52062	123034
446	52208	122988
447	52350	122929
448	52497	122883
449	52655	122862
450	52813	122841
451	53043	122986
452	53205	122972
453	53370	122964
454	53540	122966
455	53688	122919
456	53741	122653
457	53897	122622
458	54047	122577
459	54215	122573
460	54374	122549
461	54486	122418
462	54507	122083
463	54656	122035
464	54799	121972
465	54904	121826
466	55076	121829
467	55214	121756
468	55280	121522
469	55408	121426
470	55567	121398
471	55731	121381
472	55916	121408
473	55966	121143
474	56097	121052
475	56219	120942
476	56379	120915
477	56559	120928
478	56716	120892
479	56774	120645
480	56914	120572
481	57079	120553
482	57241	120528
483	57298	120279
484	57327	119973
485	57366	119691
486	57424	119448
487	57604	119458
488	57794	119489
489	57978	119505
490	58075	119344
491	58246	119334
492	58345	119176
493	58409	118946
494	58457	118686
495	58635	118689
496	58821	118708
497	58993	118697
498	59135	118625
499	59283	118566
500	59461	118566
501	59609	118506
502	59757	118445
503	59944	118461
504	59994	118207
505	60047	117959
506	60219	117943
507	60377	117901
508	60551	117890
509	60605	117646
510	60766	117609
511	60816	117356
512	61003	117368
513	61127	117259
514	61218	117087
515	61306	116910
516	61385	116715
517	61468	116529
518	61639	116508
519	61668	116221
520	61812	116151
521	61995	116152
522	62149	116098
523	62305	116049
524	62376	115842
525	62557	115838
526	62735	115828
527	62911	115815
528	63131	115879
529	63302	115856
530	63478	115839
531	63670	115851
532	63840	115822
533	64073	115908
534	64115	115647
535	64277	115603
536	64314	115335
537	64463	115267
538	64672	115306
539	64879	115341
540	64979	115185
541	65040	114960
542	65135	114797
543	65263	114690
544	65436	114664
545	65470	114393
546	65492	114102
547	65573	113916
548	65729	113860
549	65766	113595
550	65947	113582
551	66163	113628
552	66299	113537
553	66442	113456
554	66515	113256
555	66589	113059
556	66614	112778
557	66636	112493
558	66664	112220
559	66838	112192
560	66996	112138
561	67142	112063
562	67175	111800
563	67320	111723
564	67490	111687
565	67638	111615
566	67788	111546
567	67945	111488
568	68108	111438
569	68141	111178
570	68186	110938
571	68344	110880
572	68517	110846
573	68673	110786
574	68830	110726
575	68993	110677
576	69199	110694
577	69298	110541
578	69462	110492
579	69646	110473
580	69794	110398
581	69869	110206
582	70008	110115
583	70161	110047
584	70207	109811
585	70379	109773
586	70532	109703
587	70704	109663
588	70749	109427
589	70917	109380
590	71001	109206
591	71085	109029
592	71253	108983
593	71300	108752
594	71460	108691
595	71639	108661
596	71690	108435
597	71826	108340
598	71873	108109
599	72016	108024
600	72117	107876
601	72163	107645
602	72328	107592
603	72492	107538
604	72672	107507
605	72824	107434
606	72951	107324
607	73060	107186
608	73223	107129
609	73382	107066
610	73578	107056
611	73771	107041
612	73941	106992
613	74161	107015
614	74326	106957
615	74480	106884
616	74543	106680
617	74687	106593
618	74833	106507
619	74983	106428
620	75153	106376
621	75341	106350
622	75498	106279
623	75564	106080
624	75596	105835
625	75772	105790
626	75943	105738
627	75969	105485
628	75990	105226
629	76027	104989
630	76216	104963
631	76379	104901
632	76541	104836
633	76719	104793
634	76813	104635
635	76984	104582
636	77148	104519
637	77248	104369
638	77305	104163
639	77474	104106
640	77522	103887
641	77646	103770
642	77778	103664
643	77939	103597
644	78081	103502
645	78154	103319
646	78309	103242
647	78454	103153
648	78632	103107
649	78780	103020
650	78920	102923
651	79084	102857
652	79250	102794
653	79420	102736
654	79577	102660
655	79742	102595
656	79919	102545
657	79944	102300
658	80128	102257
659	80207	102082
660	80371	102014
661	80457	101847
662	80550	101690
663	80596	101473
664	80737	101376
665	80921	101334
666	80951	101098
667	81109	101022
668	81295	100981
669	81463	100917
670	81506	100699
671	81650	100604
672	81828	100553
673	81884	100351
674	82028	100256
675	82197	100193
676	82301	100050
677	82461	99975
678	82505	99760
